"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2013","1,674.25","1,640.25","1,733.25","1,630.75","27.81M","2.64%"
"08/01/2013","1,631.25","1,685.50","1,705.00","1,624.75","34.76M","-2.93%"
"07/01/2013","1,680.50","1,600.25","1,695.50","1,593.25","29.25M","5.08%"
"06/01/2013","1,599.25","1,629.50","1,655.00","1,553.25","36.25M","-1.83%"
"05/01/2013","1,629.00","1,593.75","1,685.75","1,576.00","41.51M","2.31%"
"04/01/2013","1,592.25","1,563.00","1,594.25","1,530.75","41.05M","1.89%"
"03/01/2013","1,562.75","1,512.50","1,565.00","1,499.50","31.36M","3.27%"
"02/01/2013","1,513.25","1,496.00","1,530.00","1,481.75","35.77M","1.34%"
"01/01/2013","1,493.25","1,443.00","1,506.00","1,438.25","30.69M","5.16%"
"12/01/2012","1,420.00","1,413.25","1,450.50","1,382.25","23.77M","0.39%"
"11/01/2012","1,414.50","1,402.00","1,431.75","1,340.25","39.41M","0.55%"
"10/01/2012","1,406.75","1,432.75","1,466.00","1,394.50","35.97M","-1.92%"
"09/01/2012","1,434.25","1,406.25","1,474.75","1,394.50","25.46M","2.08%"
"08/01/2012","1,405.00","1,372.00","1,424.75","1,349.25","33.29M","2.22%"
"07/01/2012","1,374.50","1,358.75","1,387.50","1,319.75","38.57M","1.33%"
"06/01/2012","1,356.50","1,306.25","1,359.50","1,262.00","38.30M","3.61%"
"05/01/2012","1,309.25","1,394.25","1,411.75","1,287.25","47.31M","-6.05%"
"04/01/2012","1,393.50","1,407.25","1,417.75","1,352.50","35.72M","-0.69%"
"03/01/2012","1,403.25","1,362.25","1,419.75","1,338.50","30.68M","2.84%"
"02/01/2012","1,364.50","1,307.75","1,377.25","1,303.75","32.42M","4.30%"
"01/01/2012","1,308.25","1,274.75","1,329.75","1,259.75","34.65M","4.45%"
"12/01/2011","1,252.50","1,243.75","1,272.00","1,195.50","28.65M","0.52%"
"11/01/2011","1,246.00","1,247.50","1,275.25","1,147.50","51.41M","-0.26%"
"10/01/2011","1,249.25","1,124.00","1,289.25","1,068.00","55.00M","10.95%"
"09/01/2011","1,126.00","1,218.00","1,228.50","1,102.00","50.20M","-7.53%"
"08/01/2011","1,217.75","1,306.00","1,309.75","1,077.00","82.47M","-5.49%"
"07/01/2011","1,288.50","1,314.75","1,354.50","1,278.50","43.05M","-2.05%"
"06/01/2011","1,315.50","1,344.75","1,347.75","1,256.25","40.74M","-2.12%"
"05/01/2011","1,344.00","1,363.25","1,373.50","1,302.25","43.05M","-1.16%"
"04/01/2011","1,359.75","1,321.25","1,363.75","1,290.25","32.67M","2.93%"
"03/01/2011","1,321.00","1,326.50","1,336.50","1,246.50","39.20M","-0.38%"
"02/01/2011","1,326.00","1,282.50","1,343.00","1,281.25","36.25M","3.39%"
"01/01/2011","1,282.50","1,256.00","1,299.50","1,255.25","38.66M","2.35%"
"12/01/2010","1,253.00","1,177.75","1,258.50","1,176.25","23.18M","6.23%"
"11/01/2010","1,179.50","1,180.50","1,224.75","1,171.00","45.36M","-0.02%"
"10/01/2010","1,179.75","1,135.75","1,193.00","1,127.00","41.90M","3.78%"
"09/01/2010","1,136.75","1,051.75","1,153.50","1,050.75","32.98M","8.44%"
"08/01/2010","1,048.25","1,104.50","1,127.75","1,037.00","42.06M","-4.55%"
"07/01/2010","1,098.25","1,024.50","1,118.75","1,002.75","44.40M","6.99%"
"06/01/2010","1,026.50","1,088.50","1,129.50","1,023.00","44.33M","-5.70%"
"05/01/2010","1,088.50","1,184.50","1,202.00","1,036.75","64.17M","-8.03%"
"04/01/2010","1,183.50","1,167.00","1,216.75","1,165.75","43.41M","1.57%"
"03/01/2010","1,165.25","1,105.50","1,176.50","1,104.25","32.63M","5.60%"
"02/01/2010","1,103.50","1,070.00","1,112.75","1,040.75","42.89M","3.08%"
"01/01/2010","1,070.50","1,113.75","1,148.00","1,066.50","40.73M","-3.62%"
"12/01/2009","1,110.75","1,092.75","1,128.50","1,085.00","24.23M","1.46%"
"11/01/2009","1,094.75","1,031.25","1,112.25","1,026.00","36.85M","5.98%"
"10/01/2009","1,033.00","1,053.50","1,099.00","1,012.00","46.28M","-1.90%"
"09/01/2009","1,053.00","1,021.00","1,076.50","991.00","31.57M","3.26%"
"08/01/2009","1,019.75","982.75","1,038.75","975.50","38.33M","3.58%"
"07/01/2009","984.50","915.75","994.00","865.25","42.23M","7.54%"
"06/01/2009","915.50","920.25","957.50","884.25","34.06M","-0.27%"
"05/01/2009","918.00","866.00","929.50","862.50","45.89M","5.52%"
"04/01/2009","870.00","790.50","887.00","779.00","49.22M","9.47%"
"03/01/2009","794.75","731.25","830.50","665.75","49.00M","8.24%"
"02/01/2009","734.25","823.75","873.00","729.50","49.30M","-10.73%"
"01/01/2009","822.50","900.00","942.75","797.50","45.64M","-8.61%"
"12/01/2008","900.00","897.50","919.25","813.00","33.68M","0.53%"
"11/01/2008","895.25","965.75","1,008.50","739.00","56.28M","-7.44%"
"10/01/2008","967.25","1,167.50","1,174.00","825.00","84.13M","-17.26%"
"09/01/2008","1,169.00","1,282.00","1,303.50","1,112.00","47.37M","-8.85%"
"08/01/2008","1,282.50","1,266.50","1,313.50","1,246.25","36.24M","1.22%"
"07/01/2008","1,267.00","1,283.00","1,294.75","1,200.75","53.29M","-1.09%"
"06/01/2008","1,281.00","1,400.75","1,411.00","1,272.75","34.52M","-8.53%"
"05/01/2008","1,400.50","1,383.00","1,441.00","1,370.50","36.08M","1.05%"
"04/01/2008","1,386.00","1,321.25","1,407.00","1,315.75","38.38M","4.68%"
"03/01/2008","1,324.00","1,329.50","1,361.50","1,253.00","36.37M","-0.54%"
"02/01/2008","1,331.25","1,373.00","1,400.00","1,312.75","40.19M","-3.50%"
"01/01/2008","1,379.50","1,478.75","1,482.75","1,255.50","55.14M","-6.62%"
"12/01/2007","1,477.25","1,484.00","1,527.00","1,435.50","21.06M","-0.44%"
"11/01/2007","1,483.75","1,552.50","1,555.00","1,406.25","46.56M","-4.58%"
"10/01/2007","1,554.90","1,540.50","1,586.75","1,492.50","38.62M","1.10%"
"09/01/2007","1,538.00","1,476.00","1,545.50","1,440.75","24.30M","4.15%"
"08/01/2007","1,476.75","1,462.50","1,510.50","1,374.50","55.25M","1.01%"
"07/01/2007","1,462.00","1,515.25","1,566.25","1,455.00","35.25M","-3.53%"
"06/01/2007","1,515.50","1,533.00","1,554.25","1,480.50","25.89M","-1.14%"
"05/01/2007","1,533.00","1,489.25","1,538.00","1,482.25","26.17M","2.99%"
"04/01/2007","1,488.50","1,431.75","1,505.00","1,425.75","20.34M","4.00%"
"03/01/2007","1,431.25","1,408.75","1,451.00","1,363.75","25.37M","1.58%"
"02/01/2007","1,409.00","1,442.25","1,464.75","1,389.00","22.37M","-2.36%"
"01/01/2007","1,443.00","1,433.25","1,447.25","1,412.25","21.60M","1.02%"
"12/01/2006","1,428.50","1,403.00","1,444.00","1,387.50","12.00M","1.82%"
"11/01/2006","1,403.00","1,382.75","1,411.25","1,365.50","23.44M","1.43%"
"10/01/2006","1,383.25","1,345.75","1,398.00","1,336.00","22.35M","2.81%"
"09/01/2006","1,345.40","1,305.00","1,350.50","1,291.50","14.30M","3.06%"
"08/01/2006","1,305.50","1,282.75","1,308.75","1,262.50","18.99M","1.85%"
"07/01/2006","1,281.75","1,281.75","1,290.00","1,231.00","21.61M","0.18%"
"06/01/2006","1,279.50","1,273.00","1,294.00","1,218.75","18.51M","0.59%"
"05/01/2006","1,272.00","1,318.50","1,331.25","1,246.75","24.64M","-3.34%"
"04/01/2006","1,316.00","1,307.00","1,324.75","1,286.50","18.17M","0.98%"
"03/01/2006","1,303.25","1,281.75","1,321.50","1,268.75","14.69M","1.62%"
"02/01/2006","1,282.50","1,279.50","1,299.75","1,255.75","16.00M","-0.08%"
"01/01/2006","1,283.50","1,255.25","1,301.00","1,251.50","18.71M","2.29%"
"12/01/2005","1,254.75","1,252.50","1,281.00","1,251.25","10.14M","0.30%"
"11/01/2005","1,251.00","1,204.00","1,273.00","1,202.50","15.98M","3.41%"
"10/01/2005","1,209.75","1,235.25","1,239.00","1,171.75","22.92M","-1.99%"
"09/01/2005","1,234.25","1,222.50","1,244.50","1,210.75","13.00M","1.04%"
"08/01/2005","1,221.50","1,239.25","1,248.50","1,194.00","17.66M","-1.23%"
"07/01/2005","1,236.75","1,196.00","1,248.75","1,170.75","14.40M","3.45%"
"06/01/2005","1,195.50","1,192.50","1,225.00","1,191.25","11.81M","0.27%"
"05/01/2005","1,192.25","1,157.75","1,202.00","1,146.75","16.53M","2.91%"
"04/01/2005","1,158.50","1,183.75","1,195.75","1,135.75","20.17M","-2.15%"
"03/01/2005","1,184.00","1,205.00","1,229.75","1,166.75","12.41M","-1.66%"
"02/01/2005","1,204.00","1,181.75","1,214.75","1,179.50","12.50M","1.88%"
"01/01/2005","1,181.75","1,213.50","1,221.25","1,164.25","15.44M","-2.64%"
"12/01/2004","1,213.75","1,175.50","1,219.75","1,173.50","7.92M","3.39%"
"11/01/2004","1,174.00","1,127.50","1,191.25","1,126.25","13.63M","3.87%"
