"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","127.12","139.46","145.86","123.04","1.12B","-7.89%"
"08/01/2023","138.01","133.55","143.63","126.41","1.21B","3.24%"
"07/01/2023","133.68","130.82","136.65","125.92","1.06B","2.55%"
"06/01/2023","130.36","120.69","131.49","119.93","1.24B","8.11%"
"05/01/2023","120.58","104.95","122.92","101.15","1.43B","14.35%"
"04/01/2023","105.45","102.30","110.86","97.71","1.22B","2.09%"
"03/01/2023","103.29","93.87","103.49","88.12","1.35B","9.61%"
"02/01/2023","94.23","102.53","114.00","92.32","1.36B","-8.63%"
"01/01/2023","103.13","85.46","103.48","81.43","1.39B","22.77%"
"12/01/2022","84.00","96.99","97.23","81.69","1.55B","-12.99%"
"11/01/2022","96.54","103.99","104.58","85.87","2.04B","-5.76%"
"10/01/2022","102.44","113.58","123.00","97.66","1.46B","-9.35%"
"09/01/2022","113.00","126.00","136.49","112.06","1.21B","-10.86%"
"08/01/2022","126.77","134.96","146.57","126.74","1.17B","-6.06%"
"07/01/2022","134.95","106.29","137.65","105.85","1.34B","27.06%"
"06/01/2022","106.21","122.26","128.99","101.43","1.77B","-11.65%"
"05/01/2022","120.21","122.40","126.22","101.26","2.26B","-3.27%"
"04/01/2022","124.28","164.15","168.39","121.62","1.47B","-23.75%"
"03/01/2022","163.00","152.73","170.83","133.57","1.63B","6.15%"
"02/01/2022","153.56","150.00","163.83","138.33","1.69B","2.67%"
"01/01/2022","149.57","167.55","171.40","135.35","1.53B","-10.29%"
"12/01/2021","166.72","177.25","177.99","165.19","1.29B","-4.92%"
"11/01/2021","175.35","168.09","188.11","164.18","1.52B","3.99%"
"10/01/2021","168.62","164.45","173.95","158.81","1.27B","2.66%"
"09/01/2021","164.25","174.82","177.50","163.70","1.25B","-5.35%"
"08/01/2021","173.54","167.66","173.63","158.79","1.26B","4.30%"
"07/01/2021","166.38","171.73","188.65","165.35","1.67B","-3.27%"
"06/01/2021","172.01","162.17","176.24","158.61","1.34B","6.74%"
"05/01/2021","161.15","174.24","174.33","156.37","1.50B","-7.05%"
"04/01/2021","173.37","155.90","177.70","155.78","1.54B","12.07%"
"03/01/2021","154.70","156.39","159.10","144.05","1.56B","0.03%"
"02/01/2021","154.65","162.12","171.70","151.84","1.44B","-3.53%"
"01/01/2021","160.31","163.50","168.19","154.30","1.43B","-1.56%"
"12/01/2020","162.85","159.43","167.53","153.64","1.55B","2.81%"
"11/01/2020","158.40","153.09","168.34","147.51","1.82B","4.34%"
"10/01/2020","151.81","160.40","174.81","150.95","2.33B","-3.58%"
"09/01/2020","157.44","174.48","177.61","143.55","2.32B","-8.76%"
"08/01/2020","172.55","159.03","174.75","153.65","1.67B","9.05%"
"07/01/2020","158.23","137.90","167.21","137.70","2.55B","14.71%"
"06/01/2020","137.94","122.40","139.80","121.86","1.76B","12.95%"
"05/01/2020","122.12","116.84","126.27","112.82","1.65B","-1.28%"
"04/01/2020","123.70","96.65","123.75","94.46","2.49B","26.88%"
"03/01/2020","97.49","95.32","99.82","81.30","3.28B","3.50%"
"02/01/2020","94.19","100.53","109.30","90.56","1.85B","-6.22%"
"01/01/2020","100.44","93.75","102.79","90.77","1.70B","8.71%"
"12/01/2019","92.39","90.22","95.07","86.75","1.37B","2.61%"
"11/01/2019","90.04","89.40","91.23","86.14","1.04B","1.36%"
"10/01/2019","88.83","87.30","89.94","84.25","1.44B","2.34%"
"09/01/2019","86.80","88.50","92.68","85.46","1.24B","-2.26%"
"08/01/2019","88.81","93.59","94.90","87.18","1.60B","-4.85%"
"07/01/2019","93.34","96.15","101.79","92.47","1.46B","-1.42%"
"06/01/2019","94.68","88.00","96.76","83.60","1.49B","6.68%"
"05/01/2019","88.75","96.65","98.22","88.64","1.96B","-7.87%"
"04/01/2019","96.33","90.01","97.82","89.94","1.63B","8.19%"
"03/01/2019","89.04","82.76","91.19","79.33","2.02B","8.60%"
